period_number,start_date,end_date,period_return,cumulative_value,positions,days
0,2013-09-16,2013-09-24,0.018170215816472712,1.0181702158164727,"['医药卫生', '消费ETF']",5
1,2013-09-25,2013-10-08,0.01862122846447689,1.037129796020917,"['医药卫生', '消费ETF']",5
2,2013-10-09,2013-10-15,0.019240670800257043,1.0570848690032932,"['医药卫生', '消费ETF']",5
3,2013-10-16,2013-10-22,0.0010578241525209808,1.0582030789089893,"['消费ETF', '医药卫生']",5
4,2013-10-23,2013-10-29,-0.05022038335721979,1.0050597146163895,"['医药卫生', '消费ETF']",5
5,2013-10-30,2013-11-05,-0.00916645414811057,0.9958468808262453,"['消费ETF', '医药ETF', '医药卫生']",5
6,2013-11-06,2013-11-12,-0.007548198288967578,0.9883300311043189,"['消费ETF', '医药ETF', '医药卫生']",5
7,2013-11-13,2013-11-19,0.013352909257128065,1.0015271123257494,"['医药卫生', '医药ETF', '消费ETF']",5
8,2013-11-20,2013-11-26,-0.006028415643088869,0.9954894906148273,"['消费ETF', '医药ETF', '医药卫生']",5
9,2013-11-27,2013-12-03,0.01144936176049094,1.0068872099216433,"['消费ETF', '医药ETF', '医药卫生']",5
10,2013-12-04,2013-12-10,0.008686128403281757,1.0156331615146448,"['医药卫生', '医药ETF', '消费ETF']",5
11,2013-12-11,2013-12-17,-0.01596851756825779,0.999415005532093,"['消费ETF', '医药卫生', '医药ETF']",5
12,2013-12-18,2013-12-24,0.0028175004947832427,1.0022308578046735,"['医药卫生', '医药ETF', '消费ETF']",5
13,2013-12-25,2013-12-31,0.010312886469212579,1.0125667508571545,"['医药卫生', '医药ETF', '消费ETF']",5
14,2014-01-02,2014-01-08,-0.008236204290051785,1.004227044239781,"['医药ETF', '医药卫生', '消费ETF']",5
15,2014-01-09,2014-01-15,-0.010492993613369972,0.9936896962781995,"['医药卫生', '医药ETF', '消费ETF']",5
16,2014-01-16,2014-01-22,-0.006450637079692401,0.9872797646776791,"['医药卫生', '医药ETF', '消费ETF']",5
17,2014-01-23,2014-01-29,-0.008006826800521227,0.9793747865982455,"['医药卫生', '消费ETF', '医药ETF']",5
18,2014-01-30,2014-02-12,0.033674342815883884,1.012354588907388,"['医药卫生', '医药ETF', '消费ETF']",5
19,2014-02-13,2014-02-19,0.015617971263114372,1.0281655137850254,"['消费ETF', '医药卫生', '医药ETF']",5
20,2014-02-20,2014-02-26,-0.03781564149574257,0.989284775317445,"['医药卫生', '消费ETF', '医药ETF']",5
21,2014-02-27,2014-03-05,-0.015880503783653466,0.9735744346999055,"['医药卫生', '医药ETF', '消费ETF']",5
22,2014-03-06,2014-03-12,-0.006929397877773247,0.9668281500782416,"['消费ETF', '医药卫生', '医药ETF']",5
23,2014-03-13,2014-03-19,0.008906598895900064,0.9754393006122536,"['消费ETF', '医药卫生', '医药ETF']",5
24,2014-03-20,2014-03-26,-0.00498240111291437,0.9705792707553027,"['消费ETF', '医药卫生', '医药ETF']",5
25,2014-03-27,2014-04-02,-0.022441348883706413,0.9487981627209896,"['消费ETF', '医药ETF', '医药卫生']",5
26,2014-04-03,2014-04-10,0.029086242551474628,0.9763951362142858,"['消费ETF', '医药卫生', '医药ETF']",5
27,2014-04-11,2014-04-17,-0.003170036999382675,0.9732999275064692,"['消费ETF', '医药ETF', '医药卫生']",5
28,2014-04-18,2014-04-24,-0.025654833025300805,0.9483300803827533,"['消费ETF', '医药卫生', '医药ETF']",5
