date,symbol,action,reason,score
2013-09-16,医药卫生,BUY,进入持仓,0.0
2013-09-16,消费ETF,BUY,进入持仓,0.0
2013-10-30,医药ETF,BUY,进入持仓,0.0
2014-06-25,消费ETF,SELL,退出持仓,
2014-06-25,可选消费,BUY,进入持仓,0.0
2014-07-09,医药ETF,SELL,退出持仓,
2014-07-09,消费ETF,BUY,进入持仓,0.48508515239673217
2014-07-30,可选消费,SELL,退出持仓,
2014-07-30,医药ETF,BUY,进入持仓,0.11890157300154794
2014-08-06,医药ETF,SELL,退出持仓,
2014-08-06,可选消费,BUY,进入持仓,-0.3580918966127649
2014-09-18,消费ETF,SELL,退出持仓,
2014-09-18,医药ETF,BUY,进入持仓,0.28700776936659167
2014-11-13,医药卫生,SELL,退出持仓,
2014-11-13,消费ETF,BUY,进入持仓,0.7091819462533291
2014-11-20,消费ETF,SELL,退出持仓,
2014-11-20,医药卫生,BUY,进入持仓,-0.481382980821096
2014-11-27,医药卫生,SELL,退出持仓,
2014-11-27,消费ETF,BUY,进入持仓,0.6204059751043218
2014-12-04,医药ETF,SELL,退出持仓,
2014-12-04,医药卫生,BUY,进入持仓,0.28057614251440477
2014-12-11,医药卫生,SELL,退出持仓,
2014-12-11,医药ETF,BUY,进入持仓,-0.18747621229517447
2015-01-19,可选消费,SELL,退出持仓,
2015-01-19,医药卫生,BUY,进入持仓,0.3034057525517637
2015-01-26,消费ETF,SELL,退出持仓,
2015-01-26,可选消费,BUY,进入持仓,0.36279161936693194
2015-02-09,医药ETF,SELL,退出持仓,
2015-02-09,消费ETF,BUY,进入持仓,-0.38387757736165296
2015-04-14,可选消费,SELL,退出持仓,
2015-04-14,医药ETF,BUY,进入持仓,-0.037184887899228705
2015-04-28,医药ETF,SELL,退出持仓,
2015-04-28,可选消费,BUY,进入持仓,0.8659847320579408
2015-05-06,可选消费,SELL,退出持仓,
2015-05-06,医药ETF,BUY,进入持仓,0.36028381076459204
2015-05-13,医药ETF,SELL,退出持仓,
2015-05-13,可选消费,BUY,进入持仓,0.9817408773644939
2015-05-20,消费ETF,SELL,退出持仓,
2015-05-20,医药ETF,BUY,进入持仓,0.2145627059943807
2015-05-27,医药ETF,SELL,退出持仓,
2015-05-27,消费ETF,BUY,进入持仓,-0.30536028348893884
2015-06-03,消费ETF,SELL,退出持仓,
2015-06-03,医药ETF,BUY,进入持仓,-0.26636936000228223
2015-06-10,医药ETF,SELL,退出持仓,
2015-06-10,消费ETF,BUY,进入持仓,0.16786021365164544
2015-06-25,医药卫生,SELL,退出持仓,
2015-06-25,医药ETF,BUY,进入持仓,0.2607520293125231
2015-07-02,可选消费,SELL,退出持仓,
2015-07-02,医药卫生,BUY,进入持仓,-0.5533527786799461
2015-08-06,消费ETF,SELL,退出持仓,
2015-08-06,可选消费,BUY,进入持仓,-0.43017559986365556
2015-08-13,医药卫生,SELL,退出持仓,
2015-08-13,消费ETF,BUY,进入持仓,0.5652049365518671
2015-08-27,可选消费,SELL,退出持仓,
2015-08-27,医药卫生,BUY,进入持仓,0.19292111999651337
2015-09-14,医药卫生,SELL,退出持仓,
2015-09-14,可选消费,BUY,进入持仓,0.7090343698328784
2015-09-21,可选消费,SELL,退出持仓,
2015-09-21,医药卫生,BUY,进入持仓,0.5470058845786311
2015-09-28,消费ETF,SELL,退出持仓,
2015-09-28,可选消费,BUY,进入持仓,0.4242571885827633
2015-10-12,可选消费,SELL,退出持仓,
2015-10-12,消费ETF,BUY,进入持仓,-0.4666775515508479
2015-10-26,消费ETF,SELL,退出持仓,
2015-10-26,可选消费,BUY,进入持仓,0.11132767763483697
2015-11-09,医药卫生,SELL,退出持仓,
2015-11-09,消费ETF,BUY,进入持仓,-0.12630642527498515
2015-11-16,消费ETF,SELL,退出持仓,
2015-11-16,医药卫生,BUY,进入持仓,0.2536922934293568
2015-11-23,医药卫生,SELL,退出持仓,
2015-11-23,消费ETF,BUY,进入持仓,-0.04922281690887087
2015-11-30,医药ETF,SELL,退出持仓,
2015-11-30,医药卫生,BUY,进入持仓,-0.512407328062848
2015-12-07,消费ETF,SELL,退出持仓,
2015-12-07,医药ETF,BUY,进入持仓,0.7980449977242056
2015-12-21,可选消费,SELL,退出持仓,
2015-12-21,消费ETF,BUY,进入持仓,0.22212702162263312
2015-12-28,消费ETF,SELL,退出持仓,
2015-12-28,可选消费,BUY,进入持仓,0.8857816594995429
2016-01-05,医药卫生,SELL,退出持仓,
2016-01-05,消费ETF,BUY,进入持仓,0.6278297301552621
2016-01-12,可选消费,SELL,退出持仓,
2016-01-12,医药卫生,BUY,进入持仓,-0.7280034370602267
2016-01-19,医药卫生,SELL,退出持仓,
2016-01-19,可选消费,BUY,进入持仓,-0.0015532482718394608
2016-01-26,可选消费,SELL,退出持仓,
2016-01-26,医药卫生,BUY,进入持仓,-0.5009525522693843
2016-02-16,消费ETF,SELL,退出持仓,
